feed_id,CVE_id,threat_group,campaign,report_date
TI001,"CVE-2024-21338","APT28 (Fancy Bear)","Operation Crimson Eagle","2023-11-15"
TI002,"CVE-2024-21413","Lazarus Group","Operation Shadow Serpent","2024-02-28"
TI003,"CVE-2024-21410","Sandworm Team","Operation Night Hydra","2024-01-10"
TI004,"CVE-2024-21339","Cozy Bear (APT29)","Operation Arctic Tide","2023-12-05"
TI005,"CVE-2024-21345","Turla (Venomous Bear)","Operation Steel Viper","2024-04-01"
TI006,"CVE-2024-21411","Dragonfly (Energetic Bear)","Operation Blazing Hammer","2023-10-22"
TI007,"CVE-2024-21340","Equation Group","Operation Hidden Dawn","2024-03-18"
TI008,"CVE-2024-21412","FIN7","Operation Cyber Raptor","2024-05-09"
TI009,"CVE-2024-21341","DarkSide","Operation Iron Cobra","2023-09-14"
TI010,"CVE-2024-21346","REvil (Sodinokibi)","Operation Silent Storm","2024-06-03"
TI011,"CVE-2024-21414","Conti","Operation Crimson Serpent","2024-01-30"
TI012,"CVE-2024-21347","LockBit","Operation Shadow Eagle","2023-11-25"
TI013,"CVE-2024-21415","Wizard Spider","Operation Night Tide","2024-05-15"
TI014,"CVE-2024-21348","Magecart","Operation Arctic Viper","2024-02-11"
TI015,"CVE-2024-21416","Mustang Panda","Operation Steel Hammer","2023-12-28"
TI016,"CVE-2024-21349","Charming Kitten (APT35)","Operation Blazing Dawn","2024-04-20"
TI017,"CVE-2024-21417","TA505","Operation Hidden Raptor","2024-01-05"
TI018,"CVE-2024-21350","Cobalt Group","Operation Cyber Cobra","2024-06-19"
TI019,"CVE-2024-21418","APT28 (Fancy Bear)","Operation Iron Hydra","2023-10-01"
TI020,"CVE-2024-21351","Lazarus Group","Operation Silent Serpent","2024-05-29"
TI021,"CVE-2024-21419","Sandworm Team","Operation Crimson Tide","2024-02-18"
TI022,"CVE-2024-21352","Cozy Bear (APT29)","Operation Shadow Viper","2024-01-19"
TI023,"CVE-2024-21420","Turla (Venomous Bear)","Operation Night Hammer","2023-12-11"
TI024,"CVE-2024-21353","Dragonfly (Energetic Bear)","Operation Arctic Dawn","2024-04-28"
TI025,"CVE-2024-21421","Equation Group","Operation Steel Raptor","2024-02-04"
TI026,"CVE-2024-21354","FIN7","Operation Blazing Cobra","2024-06-25"
TI027,"CVE-2024-21422","DarkSide","Operation Hidden Hydra","2023-11-09"
TI028,"CVE-2024-21355","REvil (Sodinokibi)","Operation Cyber Storm","2024-05-19"
TI029,"CVE-2024-21423","Conti","Operation Iron Serpent","2024-03-08"
TI030,"CVE-2024-21356","LockBit","Operation Silent Eagle","2024-01-28"
TI031,"CVE-2024-21424","Wizard Spider","Operation Crimson Viper","2024-06-14"
TI032,"CVE-2024-21357","Magecart","Operation Shadow Hammer","2024-03-24"
TI033,"CVE-2024-21425","Mustang Panda","Operation Night Dawn","2024-01-01"
TI034,"CVE-2024-21358","Charming Kitten (APT35)","Operation Arctic Raptor","2024-04-15"
TI035,"CVE-2024-21426","TA505","Operation Steel Cobra","2024-02-23"
TI036,"CVE-2024-21359","Cobalt Group","Operation Blazing Hydra","2023-11-19"
TI037,"CVE-2024-21427","APT28 (Fancy Bear)","Operation Hidden Storm","2024-05-01"
TI038,"CVE-2024-21360","Lazarus Group","Operation Cyber Serpent","2024-03-14"
TI039,"CVE-2024-21428","Sandworm Team","Operation Iron Eagle","2024-02-09"
TI040,"CVE-2024-21361","Cozy Bear (APT29)","Operation Silent Viper","2023-12-21"
TI041,"CVE-2024-21429","Turla (Venomous Bear)","Operation Crimson Hammer","2024-04-09"
TI042,"CVE-2024-21362","Dragonfly (Energetic Bear)","Operation Shadow Dawn","2024-02-15"
TI043,"CVE-2024-21430","Equation Group","Operation Night Raptor","2024-01-12"
TI044,"CVE-2024-21363","FIN7","Operation Arctic Cobra","2024-06-09"
TI045,"CVE-2024-21431","DarkSide","Operation Steel Hydra","2024-03-30"
TI046,"CVE-2024-21364","REvil (Sodinokibi)","Operation Blazing Storm","2023-12-01"
TI047,"CVE-2024-21432","Conti","Operation Hidden Serpent","2024-05-11"
TI048,"CVE-2024-21365","LockBit","Operation Cyber Eagle","2024-04-03"
TI049,"CVE-2024-21433","Wizard Spider","Operation Iron Viper","2024-02-29"
TI050,"CVE-2024-21366","Magecart","Operation Silent Hammer","2023-12-15"
TI051,"CVE-2024-21434","Mustang Panda","Operation Crimson Dawn","2024-05-25"
TI052,"CVE-2024-21367","Charming Kitten (APT35)","Operation Shadow Raptor","2024-03-04"
TI053,"CVE-2024-21435","TA505","Operation Night Cobra","2024-01-24"
TI054,"CVE-2024-21368","Cobalt Group","Operation Arctic Hydra","2024-06-21"
TI055,"CVE-2024-21436","APT28 (Fancy Bear)","Operation Steel Storm","2024-04-19"
TI056,"CVE-2024-21369","Lazarus Group","Operation Blazing Serpent","2023-12-31"
TI057,"CVE-2024-21437","Sandworm Team","Operation Hidden Eagle","2024-05-31"
TI058,"CVE-2024-21370","Cozy Bear (APT29)","Operation Cyber Viper","2024-04-11"
TI059,"CVE-2024-21438","Turla (Venomous Bear)","Operation Iron Hammer","2024-03-01"
TI060,"CVE-2024-21371","Dragonfly (Energetic Bear)","Operation Silent Dawn","2024-01-08"
TI061,"CVE-2024-21439","Equation Group","Operation Crimson Raptor","2024-06-01"
TI062,"CVE-2024-21372","FIN7","Operation Shadow Cobra","2024-04-24"
TI063,"CVE-2024-21440","DarkSide","Operation Night Hydra","2024-02-20"
TI064,"CVE-2024-21373","REvil (Sodinokibi)","Operation Arctic Storm","2023-12-25"
TI065,"CVE-2024-21441","Conti","Operation Steel Serpent","2024-05-21"
TI066,"CVE-2024-21374","LockBit","Operation Blazing Eagle","2024-04-05"
TI067,"CVE-2024-21442","Wizard Spider","Operation Hidden Viper","2024-02-13"
TI068,"CVE-2024-21375","Magecart","Operation Cyber Hammer","2024-01-16"
TI069,"CVE-2024-21443","Mustang Panda","Operation Iron Dawn","2024-06-16"
TI070,"CVE-2024-21376","Charming Kitten (APT35)","Operation Silent Raptor","2024-04-29"
TI071,"CVE-2024-21444","TA505","Operation Crimson Cobra","2024-03-10"
TI072,"CVE-2024-21377","Cobalt Group","Operation Shadow Hydra","2024-01-20"
TI073,"CVE-2024-21445","APT28 (Fancy Bear)","Operation Night Storm","2023-12-07"
TI074,"CVE-2024-21378","Lazarus Group","Operation Arctic Serpent","2024-05-05"
TI075,"CVE-2024-21446","Sandworm Team","Operation Steel Eagle","2024-03-20"
TI076,"CVE-2024-21379","Cozy Bear (APT29)","Operation Blazing Viper","2024-02-01"
TI077,"CVE-2024-21447","Turla (Venomous Bear)","Operation Hidden Hammer","2024-01-03"
TI078,"CVE-2024-21380","Dragonfly (Energetic Bear)","Operation Cyber Dawn","2024-06-29"
TI079,"CVE-2024-21448","Equation Group","Operation Iron Raptor","2024-05-08"
TI080,"CVE-2024-21381","FIN7","Operation Silent Cobra","2024-03-16"
TI081,"CVE-2024-21449","DarkSide","Operation Crimson Hydra","2024-02-25"
TI082,"CVE-2024-21382","REvil (Sodinokibi)","Operation Shadow Storm","2023-12-29"
TI083,"CVE-2024-21450","Conti","Operation Night Serpent","2024-05-24"
TI084,"CVE-2024-21383","LockBit","Operation Arctic Eagle","2024-04-08"
TI085,"CVE-2024-21451","Wizard Spider","Operation Steel Viper","2024-02-17"
TI086,"CVE-2024-21384","Magecart","Operation Blazing Hammer","2024-01-27"
TI087,"CVE-2024-21452","Mustang Panda","Operation Hidden Dawn","2024-06-11"
TI088,"CVE-2024-21385","Charming Kitten (APT35)","Operation Cyber Raptor","2024-05-14"
TI089,"CVE-2024-21453","TA505","Operation Iron Cobra","2024-03-28"
TI090,"CVE-2024-21386","Cobalt Group","Operation Silent Hydra","2024-02-05"
TI091,"CVE-2024-21454","APT28 (Fancy Bear)","Operation Crimson Storm","2024-01-14"
TI092,"CVE-2024-21387","Lazarus Group","Operation Shadow Serpent","2024-06-05"
TI093,"CVE-2024-21455","Sandworm Team","Operation Night Eagle","2024-04-22"
