incident_id,reported_date,products_associated
INC2301,"2024-01-15","Microsoft SQL Server"
INC2302,"2024-01-18","Palo Alto NGFW, Nginx"
INC2303,"2024-01-22","Docker, Jenkins"
INC2304,"2024-01-25","Active Directory Domain Services"
INC2305,"2024-02-01","Kubernetes, Grafana"
INC2306,"2024-02-05","Citrix ADC VPX, Microsoft IIS"
INC2307,"2024-02-08","PostgreSQL"
INC2308,"2024-02-12","Elasticsearch, Kibana"
INC2309,"2024-02-15","Veeam Backup & Replication"
INC2310,"2024-02-20","Confluence"
INC2311,"2024-02-23","JBoss EAP"
INC2312,"2024-02-28","OpenSSH Server"
INC2313,"2024-03-02","Zabbix Server"
INC2314,"2024-03-05","DNS Server, DHCP Server"
INC2315,"2024-03-09","VMware Horizon Agent, .NET 6"
INC2316,"2024-03-13","Microsoft SCCM"
INC2317,"2024-03-18","vsftpd"
INC2318,"2024-03-22","Redis"
INC2319,"2024-03-26","Active Directory Federation Services"
INC2320,"2024-03-30","GitLab Runner"
INC2321,"2024-04-03","SolarWinds DPA"
INC2322,"2024-04-07","Nginx, Prometheus"
INC2323,"2024-04-11","GitLab"
INC2324,"2024-04-15","Palo Alto PAN-OS"
INC2325,"2024-04-19","Kong API Gateway"
INC2326,"2024-04-23","etcd"
INC2327,"2024-04-27","Microsoft RDP"
INC2328,"2024-05-01","Logstash, Kibana"
INC2329,"2024-05-04","pgAdmin"
INC2330,"2024-05-08","Tenable Nessus"
INC2331,"2024-05-12","Apache2, PHP"
INC2332,"2024-05-16","Zabbix Agent"
INC2333,"2024-05-20","File Server, DFS"
INC2334,"2024-05-24","Ansible Tower"
INC2335,"2024-05-28","Microsoft Exchange Server"
INC2336,"2024-06-01","Okta RADIUS Server Agent"
INC2337,"2024-06-04","Squid"
INC2338,"2024-06-07","Spring Boot"
INC2339,"2024-06-10","Splunk Universal Forwarder"
INC2340,"2024-06-13","MongoDB"
INC2341,"2024-06-17","Microsoft SharePoint Server"
INC2342,"2024-06-20","Active Directory Certificate Services"
INC2343,"2024-06-23","F5 BIG-IP"
INC2344,"2024-07-01","WordPress"
INC2345,"2024-07-04","WebSphere"
INC2346,"2024-07-08","Fail2Ban"
INC2347,"2024-07-11","Nagios Core"
INC2348,"2024-07-15","Network Policy and Access Services"
INC2349,"2024-07-18","Puppet Enterprise"
INC2350,"2024-07-22","Remote Desktop Gateway"
INC2351,"2024-07-25","MySQL Server"
INC2352,"2024-07-29","TeamCity Build Agent"
INC2353,"2024-08-01","Nginx, Grafana"
INC2354,"2024-08-05","Microsoft SQL Server, SSAS"
INC2355,"2024-08-08","Fortinet FortiOS"
INC2356,"2024-08-12","Microsoft Visual Studio 2022"
INC2357,"2024-08-15","IBM DB2 Client"
INC2358,"2024-08-19","Cisco ISE"
INC2359,"2024-08-22","File Server, FSRM"
INC2360,"2024-08-26","SaltStack"
INC2361,"2024-08-29","PingFederate"
INC2362,"2024-09-02","Xcode"
INC2363,"2024-09-05","Ceph, Rook"
INC2364,"2024-09-09","InfluxDB"
INC2365,"2024-09-12","MariaDB"
INC2366,"2024-09-16","VMware Carbon Black Cloud"
INC2367,"2024-09-19","F5 GTM"
INC2368,"2024-09-23","Jira Service Management"
INC2369,"2024-09-26","Icinga2"
INC2370,"2024-09-30","Prometheus, Alertmanager"
INC2371,"2024-10-03","Oracle Database XE"
INC2372,"2024-10-07","Nginx"
INC2373,"2024-10-10","Microsoft SQL Server"
INC2374,"2024-10-14","Docker"
INC2375,"2024-10-17","Active Directory Domain Services"
INC2376,"2024-10-21","Palo Alto NGFW"
INC2377,"2024-10-24","Kubernetes"
INC2378,"2024-10-28","Citrix ADC VPX"
INC2379,"2024-10-31","PostgreSQL"
INC2380,"2024-11-04","Elasticsearch"
INC2381,"2024-11-07","Veeam Backup & Replication"
INC2382,"2024-11-11","Confluence, Jira"
INC2383,"2024-11-14","JBoss EAP, Oracle Database Client"
INC2384,"2024-11-18","OpenSSH Server"
INC2385,"2024-11-21","Zabbix Server, Zabbix Agent"
INC2386,"2024-11-25","DNS Server"
INC2387,"2024-11-28","Microsoft IIS, .NET 6"
INC2388,"2024-12-02","Microsoft SCCM, WSUS"
INC2389,"2024-12-05","vsftpd"
INC2390,"2024-12-09","Redis, Nginx"
INC2391,"2024-12-12","Active Directory Federation Services"
INC2392,"2024-12-16","GitLab, GitLab Runner"
INC2393,"2024-12-19","SolarWinds DPA"
INC2394,"2024-12-23","Grafana, Prometheus"
INC2395,"2024-12-26","Jenkins"
INC2396,"2024-12-30","Palo Alto PAN-OS, GlobalProtect"
INC2397,"2025-01-02","Kong API Gateway"
INC2398,"2025-01-06","etcd, Kubernetes"
INC2399,"2025-01-09","Microsoft RDP"
INC2400,"2025-01-13","Logstash"
INC2401,"2025-01-16","pgAdmin, PostgreSQL"
INC2402,"2025-01-20","Tenable Nessus"
INC2403,"2025-01-23","Apache2, MySQL"
INC2404,"2025-01-27","Zabbix Agent"
INC2405,"2025-01-30","File Server"
INC2406,"2025-02-03","Ansible Tower, RHEL"
INC2407,"2025-02-06","Microsoft Exchange Server"
INC2408,"2025-02-10","Okta RADIUS Server Agent, Active Directory"
INC2409,"2025-02-13","Squid Proxy"
INC2410,"2025-02-17","Spring Boot, Java"
INC2411,"2025-02-20","Splunk Universal Forwarder"
INC2412,"2025-02-24","MongoDB, Node.js"
INC2413,"2025-02-27","Microsoft SharePoint Server"
INC2414,"2025-03-03","Active Directory Certificate Services"
INC2415,"2025-03-06","F5 BIG-IP LTM"
INC2416,"2025-03-10","WordPress, Nginx"
INC2417,"2025-03-13","WebSphere, IBM DB2"
INC2418,"2025-03-17","OpenSSH Server, Fail2Ban"
INC2419,"2025-03-20","Nagios Core"
INC2420,"2025-03-24","Network Policy and Access Services"
INC2421,"2025-03-27","Puppet Enterprise"
INC2422,"2025-03-31","Remote Desktop Gateway"
INC2423,"2025-04-03","MySQL Server"
INC2424,"2025-04-07","TeamCity Build Agent"
INC2425,"2025-04-10","Nginx"
INC2426,"2025-04-14","Microsoft SQL Server, SSAS, SSRS"
INC2427,"2025-04-17","Fortinet FortiOS"
INC2428,"2025-04-21","Microsoft Visual Studio 2022, .NET 6"
INC2429,"2025-04-24","Cisco ISE, Active Directory"
INC2430,"2025-04-28","File Server, FSRM"
INC2431,"2025-05-01","SaltStack, Python"
INC2432,"2025-05-05","PingFederate, Java"
INC2433,"2025-05-08","Xcode, Swift"
INC2434,"2025-05-12","Ceph"
INC2435,"2025-05-15","InfluxDB, Telegraf"
INC2436,"2025-05-19","MariaDB, Galera Cluster"
INC2437,"2025-05-22","VMware Carbon Black Cloud"
INC2438,"2025-05-26","F5 BIG-IP GTM"
INC2439,"2025-05-29","Jira Service Management, Confluence"
INC2440,"2025-06-02","Icinga2"
INC2441,"2025-06-05","Prometheus"
INC2442,"2025-06-09","Oracle Database XE, SQL*Plus"
INC2443,"2025-06-12","Nginx, PHP-FPM"
INC2444,"2025-06-16","Microsoft SQL Server"
INC2445,"2025-06-19","Docker, Kubernetes"
INC2446,"2025-06-23","Active Directory Domain Services"
INC2447,"2025-06-26","Palo Alto NGFW"
INC2448,"2025-06-30","Kubernetes, Prometheus"
INC2449,"2025-07-03","Citrix ADC VPX"
INC2450,"2025-07-07","PostgreSQL, PostGIS"
INC2451,"2025-07-10","Elasticsearch, Beats"
INC2452,"2025-07-14","Veeam Backup & Replication, Windows Server"
INC2453,"2025-07-17","Confluence"
INC2454,"2025-07-21","JBoss EAP"
INC2455,"2025-07-24","OpenSSH Server, Duo MFA"
INC2456,"2025-07-28","Zabbix Server"
INC2457,"2025-07-31","DNS Server, BIND"
INC2458,"2025-08-04","Microsoft IIS"
INC2459,"2025-08-07","Microsoft SCCM"
INC2460,"2025-08-11","vsftpd, TLS"
INC2461,"2025-08-14","Redis"
INC2462,"2025-08-18","Active Directory Federation Services"
INC2463,"2025-08-21","GitLab Runner"
INC2464,"2025-08-25","SolarWinds DPA, Oracle"
INC2465,"2025-08-28","Grafana"
INC2466,"2025-09-01","Jenkins, Maven"
INC2467,"2025-09-04","Palo Alto PAN-OS"
INC2468,"2025-09-08","Kong API Gateway, JWT"
INC2469,"2025-09-11","etcd"
INC2470,"2025-09-15","Microsoft RDP, MFA"
INC2471,"2025-09-18","Logstash, Grok"
INC2472,"2025-09-22","pgAdmin"
INC2473,"2025-09-25","Tenable Nessus"
INC2474,"2025-09-29","Apache2, ModSecurity"
INC2475,"2025-10-02","Zabbix Agent, Windows"
INC2476,"2025-10-06","File Server, SMB"
INC2477,"2025-10-09","Ansible Tower"
INC2478,"2025-10-13","Microsoft Exchange Server, DAG"
INC2479,"2025-10-16","Okta RADIUS Server Agent"
INC2480,"2025-10-20","Squid"
INC2481,"2025-10-23","Spring Boot, Tomcat"
INC2482,"2025-10-27","Splunk Universal Forwarder, Heavy Forwarder"
INC2483,"2025-10-30","MongoDB, Compass"
INC2484,"2025-11-03","Microsoft SharePoint Server, Nintex"
INC2485,"2025-11-06","Active Directory Certificate Services, SCEP"
INC2486,"2025-11-10","F5 BIG-IP LTM"
INC2487,"2025-11-13","WordPress, WooCommerce"
INC2488,"2025-11-17","WebSphere, MQ"
INC2489,"2025-11-20","OpenSSH Server"
INC2490,"2025-11-24","Nagios Core, NRPE"
INC2491,"2025-11-27","Network Policy and Access Services, RADIUS"
INC2492,"2025-12-01","Puppet Enterprise, Bolt"
INC2493,"2025-12-04","Remote Desktop Gateway"
